POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20180101;0,0;1;;;5,5;1;730;9;12,3;1;1200;9;8,9;1;8,90;1;3,9;1;;;0;9;6,8;1;8,9;1;;;;;2,7;1;9,9;1;320;1;1125;9;5,1;1;300;1;1211;9;;;;;;;;;;;;;;;43;1;1211;9;97;1;24;9;0;9;443;9;8,1;9;;;72;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;;;;;;;;;;;;
13001009;20180102;0,0;1;;;4,9;1;745;9;13,5;1;1250;9;8,3;1;9,20;1;2,8;1;;;0;9;8,6;1;9,2;1;;;;;2,4;1;12,2;1;310;1;1041;9;6,1;1;320;1;1117;9;;;;;;;;;;;;;;;34;1;1241;9;80;1;144;9;194;9;33;9;6,4;9;;;60;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,9;9;;;;;;;;;;;;
13001009;20180103;0,2;1;;;3,5;1;300;9;17,1;1;1334;9;10,8;1;10,30;1;1,6;1;;;0;9;13,6;1;10,3;1;;;;;2,4;1;19,1;1;290;1;1441;9;8,8;1;300;1;1446;9;;;;;;;;;;;;;;;41;1;1438;9;91;1;407;9;0;9;687;9;8,8;9;;;70;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;;;;
13001009;20180104;0,0;1;;;6,1;1;640;9;17,9;1;1148;9;12,1;1;12,00;1;4,1;1;;;0;9;11,8;1;12,0;1;;;;;2,3;1;14,2;1;280;1;1042;9;6,9;1;280;1;1232;9;;;;;;;;;;;;;;;54;1;1518;9;96;1;809;9;0;9;564;9;10,5;9;;;76;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;;;;;;;;;;;;
13001009;20180105;0,0;1;;;5,1;1;710;9;19,7;1;1303;9;11,8;1;12,40;1;2,9;1;;;0;9;14,6;1;12,4;1;;;;;1,1;1;8,5;1;120;1;2346;9;4,2;1;130;9;2352;9;;;;;;;;;;;;;;;45;1;1409;9;99;1;840;9;0;9;666;9;10,4;9;;;78;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
13001009;20180106;0,2;1;;;9,4;1;2022;9;15,8;1;1254;9;13,2;1;12,60;1;7,2;1;;;0;9;6,4;1;12,6;1;;;;;4,6;1;20,8;1;80;1;2318;9;10,0;1;110;9;2333;9;;;;;;;;;;;;;;;55;1;1232;9;79;1;308;9;0;9;0;9;10,5;9;;;70;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;9;;;;;;;;;;;;
13001009;20180107;0,0;1;;;12,5;1;2007;9;17,0;1;1154;9;15,0;1;14,75;1;11,9;1;;;0;9;4,5;1;14,8;1;;;;;7,4;1;25,3;1;120;1;1259;9;10,5;1;110;1;1125;9;;;;;;;;;;;;;;;54;1;1155;9;68;1;217;9;0;9;0;9;10,3;9;;;61;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,2;9;;;;;;;;;;;;
13001009;20180108;38,1;1;;;9,0;1;1603;9;15,3;1;1018;9;12,1;1;12,15;1;8,0;1;;;0;9;6,3;1;12,2;1;;;;;4,6;1;19,6;1;70;1;1315;9;9,3;1;90;1;1322;9;;;;;;;;;;;;;;;57;1;246;9;95;1;1514;9;0;9;616;9;10,6;9;;;76;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;;;;
13001009;20180109;0,4;1;;;8,6;1;2246;9;13,1;1;1344;9;10,0;1;10,85;1;7,6;1;;;0;9;4,5;1;10,9;1;;;;;1,9;1;9,4;1;180;1;1305;9;5,0;1;170;1;1305;9;;;;;;;;;;;;;;;58;1;1326;9;97;1;300;9;0;9;1060;9;10,1;9;;;83;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20180110;0,0;1;;;8,8;1;304;9;13,7;1;1406;9;9,6;1;11,25;1;7,8;1;;;0;9;4,9;1;11,3;1;;;;;1,3;1;6,3;1;70;1;432;9;3,2;1;100;1;434;9;;;;;;;;;;;;;;;60;1;1411;9;94;1;2214;9;0;9;664;9;9,5;9;;;79;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
13001009;20180111;0,2;1;;;3,2;1;721;9;11,8;1;1228;9;6,4;1;7,50;1;1,2;1;;;0;9;8,6;1;7,5;1;;;;;0,5;1;6,0;1;320;1;1419;9;3,3;1;320;1;1245;9;;;;;;;;;;;;;;;62;1;1249;9;96;1;756;9;0;9;1001;9;8,0;9;;;84;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;;;;
13001009;20180112;0,2;1;;;-0,6;1;548;9;12,9;1;1444;9;4,8;1;6,15;1;-2,4;1;;;224;9;13,5;1;6,2;1;;;;;0,4;1;5,0;1;250;1;1341;9;2,9;1;250;1;1342;9;;;;;;;;;;;;;;;46;1;1416;9;97;1;323;9;0;9;941;9;6,8;9;;;81;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;;;;
13001009;20180113;0,2;1;;;-0,1;1;216;9;13,6;1;1345;9;6,7;1;6,75;1;-2,0;1;;;19;9;13,7;1;6,8;1;;;;;1,4;1;6,9;1;190;1;1426;9;3,9;1;190;1;1433;9;;;;;;;;;;;;;;;52;1;1343;9;97;1;237;9;0;9;540;9;7,4;9;;;75;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;;;;
13001009;20180114;0,0;1;;;5,9;1;2206;9;10,8;1;1317;9;8,9;1;8,35;1;4,3;1;;;0;9;4,9;1;8,4;1;;;;;3,4;1;12,8;1;90;1;1056;9;5,9;1;100;1;928;9;;;;;;;;;;;;;;;62;1;1323;9;76;1;1644;9;0;9;0;9;7,7;9;;;68;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;;;;
13001009;20180115;0,2;1;;;6,5;1;604;9;13,0;1;1114;9;9,2;1;9,75;1;5,4;1;;;0;9;6,5;1;9,8;1;;;;;1,2;1;9,1;1;120;1;48;9;3,9;1;90;1;55;9;;;;;;;;;;;;;;;54;1;1136;9;93;1;2319;9;0;9;309;9;8,3;9;;;72;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
13001009;20180116;0,6;1;;;6,7;1;138;9;16,3;1;1418;9;11,4;1;11,50;1;5,4;1;;;0;9;9,6;1;11,5;1;;;;;2,4;1;13,8;1;290;1;1405;9;6,8;1;280;1;1320;9;;;;;;;;;;;;;;;54;1;1234;9;96;1;248;9;0;9;712;9;10,6;9;;;80;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;;;;
13001009;20180117;0,2;1;;;8,0;1;1800;9;11,8;1;1211;9;9,2;1;9,90;1;6,3;1;;;0;9;3,8;1;9,9;1;;;;;4,2;1;21,7;1;280;1;1221;9;10,6;1;310;1;1230;9;;;;;;;;;;;;;;;31;1;1221;9;91;1;310;9;409;9;143;9;6,3;9;;;53;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,7;9;;;;;;;;;;;;
13001009;20180118;0,0;1;;;1,2;1;359;9;12,8;1;1244;9;6,3;1;7,00;1;-1,2;1;;;0;9;11,6;1;7,0;1;;;;;1,7;1;9,8;1;320;1;1121;9;5,2;1;270;1;1440;9;;;;;;;;;;;;;;;51;1;1245;9;96;1;2301;9;0;9;392;9;7,0;9;;;73;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
