POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20210101;4,6;1;;;3,9;1;2011;9;8,9;1;1306;9;6,2;1;6,40;1;1,7;9;;;0;9;5,0;1;6,4;1;;;;;1,6;1;8,5;1;70;1;1506;9;4,2;1;70;1;1512;9;;;;;;;;;8,0;9;;;1510;9;74;1;1408;9;93;1;44;9;0;9;1176;9;8,1;9;;;85;1;;;;;;;84;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;;;;
13001009;20210102;7,6;1;;;3,4;1;1640;9;4,9;1;1342;9;3,8;1;4,15;1;3,1;9;;;0;9;1,5;1;4,2;1;;;;;1,2;1;5,4;1;20;1;151;9;2,6;1;20;1;152;9;;;;;;;;;5,1;9;;;151;9;82;1;32;9;93;1;940;9;0;9;1440;9;7,1;9;;;88;1;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;;;;
13001009;20210103;1,0;1;;;1,4;1;300;9;6,9;1;1433;9;3,7;1;4,15;1;0,6;9;;;0;9;5,5;1;4,2;1;;;;;0,9;1;5,5;1;360;1;1704;9;2,6;1;10;1;1703;9;;;;;;;;;5,1;9;;;1710;9;71;1;1230;9;93;1;39;9;0;9;1107;9;6,7;9;;;84;1;;;;;;;59;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;;;;
13001009;20210104;6,4;1;;;0,5;1;1102;9;2,6;1;1854;9;1,8;1;1,55;1;0,0;9;;;0;9;2,1;1;1,6;1;;;;;0,5;1;4,0;1;310;1;843;9;2,6;1;300;1;845;9;;;;;;;;;3,8;9;;;843;9;80;1;327;9;95;1;1131;9;0;9;1440;9;6,4;9;;;91;1;;;;;;;3;9;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;0,1;9;;;;;;;;;;;;
13001009;20210105;0,0;1;;;-0,9;1;538;9;7,5;1;1446;9;1,3;1;3,30;1;-2,2;9;;;688;9;8,4;1;3,3;1;;;;;0,8;1;5,2;1;280;1;1303;9;2,7;1;280;1;1544;9;;;;;;;;;4,6;9;;;338;9;56;1;1329;9;97;1;612;9;0;9;1080;9;5,7;9;;;86;1;;;;;;;1609;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;;;;;;;;;;;;
13001009;20210106;0,2;1;;;-4,1;1;608;9;5,4;1;1332;9;-0,5;1;0,65;1;-6,4;9;;;875;9;9,5;1;0,7;1;;;;;0,9;1;8,2;1;310;1;1555;9;4,6;1;280;1;1421;9;;;;;;;;;7,8;9;;;1555;9;57;1;1342;9;94;1;140;9;0;9;850;9;4,7;9;;;81;1;;;;;;;1810;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;;;;
13001009;20210107;0,0;1;;;-5,3;1;643;9;5,6;1;1213;9;0,0;1;0,15;1;-7,5;9;;;570;9;10,9;1;0,2;1;;;;;0,6;1;4,9;1;60;9;2201;9;1,9;1;70;9;2205;9;;;;;;;;;4,3;9;;;2210;9;55;1;1103;9;93;1;826;9;0;9;793;9;4,6;9;;;77;1;;;;;;;1049;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;;;;;;;;;;;;
13001009;20210108;0,2;1;;;-3,5;1;704;9;7,9;1;1413;9;2,4;1;2,20;1;-6,1;9;;;403;9;11,4;1;2,2;1;;;;;1,0;1;5,6;1;50;9;2054;9;2,7;1;70;1;49;9;;;;;;;;;5,3;9;;;2054;9;35;1;1430;9;90;1;511;9;216;9;345;9;4,1;9;;;59;1;;;;;;;2019;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
13001009;20210109;0,0;1;;;0,4;1;2253;9;9,8;1;1238;9;4,9;1;5,10;1;-1,9;9;;;0;9;9,4;1;5,1;1;;;;;2,5;1;8,9;1;40;1;437;9;4,5;1;30;1;612;9;;;;;;;;;8,5;9;;;437;9;31;1;1151;9;64;1;8;9;261;9;0;9;4,3;9;;;50;1;;;;;;;777;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;9;;;;;;;;;;;;
13001009;20210110;5,4;1;;;0,4;1;802;9;2,3;1;601;9;1,5;1;1,35;1;0,0;9;;;0;9;1,9;1;1,4;1;;;;;0,6;1;5,1;1;70;1;26;9;2,2;1;250;1;653;9;;;;;;;;;4,6;9;;;26;9;57;1;119;9;95;1;2345;9;0;9;1009;9;5,7;9;;;84;1;;;;;;;0;9;;;;;;;;;;;1;9;;;;;;;;;;;;;1;9;;;;;;;;;;;0,3;9;;;;;;;;;2;1;;
