POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20170101;0,2;1;;;-0,2;1;256;9;13,2;1;1255;9;5,8;1;6,50;1;-3,0;1;;;22;9;13,4;1;6,5;1;;;;;0,5;1;3,6;1;210;1;1426;9;2,0;1;140;1;1140;9;;;;;;;;;;;;;;;62;1;1321;9;98;1;509;9;0;9;1013;9;8,0;9;;;87;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;;;;
13001009;20170102;0,2;1;;;4,0;1;400;9;14,3;1;1250;9;7,4;1;9,15;1;0,6;1;;;0;9;10,3;1;9,2;1;;;;;1,3;1;8,1;1;190;1;1323;9;4,3;1;200;1;1302;9;;;;;;;;;;;;;;;57;1;1441;9;97;1;409;9;0;9;996;9;8,4;9;;;82;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
13001009;20170103;0,0;1;;;-1,7;1;325;9;9,3;1;1319;9;2,5;1;3,80;1;-4,9;1;;;379;9;11,0;1;3,8;1;;;;;0,8;1;5,7;1;320;1;1341;9;3,4;1;330;1;1402;9;;;;;;;;;;;;;;;51;1;1215;9;94;1;357;9;0;9;890;9;5,6;9;;;78;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20170104;0,2;1;;;-2,4;1;737;9;10,3;1;1410;9;3,6;1;3,95;1;-4,8;1;;;419;9;12,7;1;4,0;1;;;;;2,9;1;16,5;1;330;1;1818;9;8,6;1;320;1;1749;9;;;;;;;;;;;;;;;30;1;1530;9;95;1;451;9;314;9;490;9;4,7;9;;;64;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;9;;;;;;;;;;;;
13001009;20170105;0,0;1;;;2,7;1;651;9;7,4;1;1137;9;4,1;1;5,05;1;1,3;1;;;65;9;4,7;1;5,1;1;;;;;4,6;1;18,1;1;320;1;1038;9;9,4;1;330;1;1041;9;;;;;;;;;;;;;;;43;1;1440;9;76;1;2350;9;0;9;0;9;4,7;9;;;58;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;9;;;;;;;;;;;;
13001009;20170106;0,0;1;;;-4,3;1;453;9;6,4;1;1334;9;-0,2;1;1,05;1;-6,6;1;;;882;9;10,7;1;1,1;1;;;;;0,7;1;6,5;1;20;1;1207;9;3,2;1;10;1;1159;9;;;;;;;;;;;;;;;42;1;1336;9;87;1;506;9;0;9;430;9;3,9;9;;;67;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20170107;0,0;1;;;-4,3;1;244;9;9,6;1;1325;9;1,3;1;2,65;1;-6,5;1;;;724;9;13,9;1;2,7;1;;;;;1,0;1;5,4;1;30;1;849;9;3,0;1;70;1;410;9;;;;;;;;;;;;;;;43;1;1500;9;86;1;218;9;0;9;230;9;3,9;9;;;59;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
13001009;20170108;0,0;1;;;-4,2;1;342;9;8,1;1;1514;9;-0,3;1;1,95;1;-6,4;1;;;905;9;12,3;1;2,0;1;;;;;0,5;1;3,7;1;180;1;1250;9;1,8;1;320;1;1701;9;;;;;;;;;;;;;;;55;1;1508;9;94;1;2351;9;0;9;630;9;4,6;9;;;77;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;;;;
13001009;20170109;0,0;1;;;-3,0;1;27;9;7,8;1;1342;9;1,3;1;2,40;1;-5,7;1;;;635;9;10,8;1;2,4;1;;;;;1,2;1;5,8;1;280;1;1317;9;3,5;1;290;1;1322;9;;;;;;;;;;;;;;;48;1;1455;9;94;1;107;9;0;9;485;9;4,9;9;;;74;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20170110;0,6;1;;;-3,4;1;328;9;6,0;1;1447;9;1,3;1;1,30;1;-5,6;1;;;560;9;9,4;1;1,3;1;;;;;0,4;1;2,8;1;300;1;1519;9;1,6;1;280;1;1515;9;;;;;;;;;;;;;;;53;1;943;9;96;1;2340;9;0;9;1294;9;5,7;9;;;84;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;;;;
