POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20230101;0,0;1;;;12,1;1;223;9;17,6;1;1139;9;14,4;1;14,85;1;8,4;9;;;0;9;5,5;1;14,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;1;1149;9;88;1;226;9;0;9;588;9;12,8;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;;;;
13001009;20230102;0,0;1;;;12,6;1;219;9;16,6;1;1314;9;13,3;1;14,60;1;11,5;9;;;0;9;4,0;1;14,6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;1;1231;9;95;1;2313;9;0;9;628;9;11,8;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;9;;;;;;;;;;;;
13001009;20230103;0,2;1;;;7,6;1;313;9;16,1;1;1123;9;10,6;1;11,85;1;5,2;9;;;0;9;8,5;1;11,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;1;1127;9;99;1;433;9;0;9;975;9;11,0;9;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;;;;
13001009;20230104;0,2;1;;;2,6;1;601;9;15,3;1;1212;9;7,4;1;8,95;1;-0,3;9;;;0;9;12,7;1;9,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;1;1524;9;99;1;500;9;0;9;1007;9;8,9;9;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;;;;
13001009;20230105;0,4;1;;;2,1;1;552;9;17,3;1;1502;9;7,9;1;9,70;1;-0,7;9;;;0;9;15,2;1;9,7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;1;1337;9;99;1;755;9;0;9;1004;9;9,2;9;;;87;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;;;;
13001009;20230106;0,0;1;;;3,3;1;432;9;15,1;1;1043;9;9,5;1;9,20;1;0,3;9;;;0;9;11,8;1;9,2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;1;1128;9;100;1;830;9;0;9;990;9;9,9;9;;;84;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;;;;;;;;;;;;
13001009;20230107;1,0;1;;;9,6;1;603;9;14,0;1;1425;9;12,0;1;11,80;1;6,6;9;;;0;9;4,4;1;11,8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;1;1113;9;86;1;606;9;0;9;518;9;10,8;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;;;;
13001009;20230108;0,6;1;;;11,5;1;1903;9;13,4;1;1158;9;12,2;1;12,45;1;9,9;9;;;0;9;1,9;1;12,5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;1;315;9;99;1;2305;9;0;9;1132;9;12,2;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20230109;0,2;1;;;6,8;1;650;9;13,1;1;1243;9;9,3;1;9,95;1;4,5;9;;;0;9;6,3;1;10,0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;1;1445;9;97;1;1;9;0;9;392;9;7,6;9;;;66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,0;9;;;;;;;;;;;;
13001009;20230110;0,0;1;;;5,7;1;345;9;12,0;1;1248;9;7,9;1;8,85;1;2,7;9;;;0;9;6,3;1;8,9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;1;1008;9;79;1;2131;9;0;9;0;9;6,0;9;;;58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;9;;;;;;;;;;;;
