POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20190101;0,4;1;;;-1,4;1;650;9;13,8;1;1056;9;4,6;1;6,20;1;-3,7;9;;;361;9;15,2;1;6,2;1;;;;;0,7;1;6,2;1;290;1;1223;9;3,4;1;290;1;1239;9;;;;;;;;;;;;;;;58;1;1114;9;98;1;553;9;0;9;961;9;7,2;9;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;9;;;;;;;;;;;;
13001009;20190102;0,0;1;;;-1,7;1;356;9;12,0;1;1152;9;4,8;1;5,15;1;-4,5;9;;;422;9;13,7;1;5,2;1;;;;;1,9;1;12,8;1;300;1;1105;9;5,7;1;320;1;1104;9;;;;;;;;;;;;;;;39;1;1329;9;99;1;417;9;29;9;511;9;5,4;9;;;66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;;;;;;;;;;;;
13001009;20190103;0,0;1;;;-2,9;1;648;9;11,2;1;1338;9;2,7;1;4,15;1;-5,0;9;;;526;9;14,1;1;4,2;1;;;;;0,6;1;5,7;1;10;1;1131;9;3,1;1;20;1;1147;9;;;;;;;;;;;;;;;38;1;1226;9;92;1;531;9;98;9;530;9;4,8;9;;;68;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
13001009;20190104;0,0;1;;;-1,9;1;406;9;9,7;1;1245;9;2,4;1;3,90;1;-4,0;9;;;558;9;11,6;1;3,9;1;;;;;0,6;1;4,2;1;50;1;1050;9;2,4;1;20;1;1204;9;;;;;;;;;;;;;;;43;1;1231;9;90;1;2354;9;0;9;680;9;5,1;9;;;72;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20190105;0,2;1;;;-3,1;1;657;9;9,3;1;1335;9;2,2;1;3,10;1;-5,2;9;;;527;9;12,4;1;3,1;1;;;;;0,8;1;6,2;1;280;1;1327;9;3,4;1;310;1;1331;9;;;;;;;;;;;;;;;48;1;1131;9;94;1;453;9;0;9;823;9;5,4;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;;;;;;;;;;;;
13001009;20190106;0,0;1;;;-1,6;1;546;9;12,1;1;1116;9;3,4;1;5,25;1;-4,0;9;;;605;9;13,7;1;5,3;1;;;;;1,1;1;10,0;1;290;1;1122;9;5,1;1;300;1;1130;9;;;;;;;;;;;;;;;40;1;1118;9;96;1;557;9;2;9;825;9;5,8;9;;;77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
13001009;20190107;0,2;1;;;-2,5;1;458;9;12,5;1;1252;9;2,8;1;5,00;1;-5,4;9;;;634;9;15,0;1;5,0;1;;;;;0,8;1;5,6;1;320;1;1431;9;3,0;1;310;1;1432;9;;;;;;;;;;;;;;;42;1;1246;9;96;1;314;9;0;9;843;9;5,7;9;;;78;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20190108;0,2;1;;;-2,8;1;428;9;11,6;1;1142;9;4,8;1;4,40;1;-5,2;9;;;514;9;14,4;1;4,4;1;;;;;3,9;1;18,4;1;310;1;2036;9;10,1;1;320;9;2003;9;;;;;;;;;;;;;;;57;1;1144;9;96;1;106;9;0;9;550;9;6,3;9;;;74;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20190109;0,0;1;;;4,1;1;1800;9;8,6;1;1207;9;5,1;1;6,35;1;2,4;9;;;64;9;4,5;1;6,4;1;;;;;4,7;1;18,6;1;310;1;1359;9;8,7;1;320;1;1304;9;;;;;;;;;;;;;;;37;1;1427;9;82;1;2343;9;59;9;48;9;5,1;9;;;58;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;9;;;;;;;;;;;;
13001009;20190110;0,0;1;;;-3,7;1;641;9;9,4;1;1236;9;1,5;1;2,85;1;-6,5;9;;;825;9;13,1;1;2,9;1;;;;;0,9;1;7,3;1;290;1;1357;9;3,9;1;290;1;1403;9;;;;;;;;;;;;;;;30;1;1207;9;91;1;518;9;191;9;505;9;4,3;9;;;67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;;;;;;;;;;;;
13001009;20190111;0,0;1;;;-5,1;1;538;9;8,5;1;1425;9;0,4;1;1,70;1;-7,4;9;;;857;9;13,6;1;1,7;1;;;;;1,0;1;7,2;1;320;1;1121;9;4,2;1;320;1;1130;9;;;;;;;;;;;;;;;33;1;1334;9;87;1;541;9;183;9;531;9;4,0;9;;;67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;;;;;;;;;;;;
13001009;20190112;0,0;1;;;-5,3;1;650;9;11,9;1;1318;9;3,1;1;3,30;1;-6,9;9;;;531;9;17,2;1;3,3;1;;;;;1,2;1;11,0;1;300;1;2339;9;4,9;1;320;9;0;9;;;;;;;;;;;;;;;44;1;1324;9;92;1;641;9;0;9;515;9;5,2;9;;;69;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;;;;;;;;;;;;
13001009;20190113;0,0;1;;;3,5;1;1931;9;12,0;1;1244;9;9,9;1;7,75;1;-0,2;9;;;0;9;8,5;1;7,8;1;;;;;6,2;1;18,8;1;290;1;1223;9;9,1;1;310;1;1958;9;;;;;;;;;;;;;;;59;1;1235;9;72;1;2216;9;0;9;0;9;8,1;9;;;66;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;;;;;;;;;;;;
13001009;20190114;0,0;1;;;9,0;1;1758;9;14,2;1;1156;9;10,2;1;11,60;1;7,1;9;;;0;9;5,2;1;11,6;1;;;;;5,3;1;20,9;1;280;1;1142;9;9,4;1;320;1;1204;9;;;;;;;;;;;;;;;34;1;1517;9;76;1;136;9;173;9;0;9;6,9;9;;;56;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,2;9;;;;;;;;;;;;
13001009;20190115;0,0;1;;;-0,5;1;741;9;14,8;1;1352;9;5,6;1;7,15;1;-3,3;9;;;149;9;15,3;1;7,2;1;;;;;0,8;1;6,3;1;310;1;3;9;3,2;1;300;1;1;9;;;;;;;;;;;;;;;31;1;1305;9;91;1;755;9;243;9;556;9;5,7;9;;;67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;;;;;;;;;;;;
