POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
13001009;20050101;0,4;1;;;-2,8;1;656;1;14,2;1;1527;9;3,5;1;5,70;1;-5,8;1;;;526;9;17,0;1;5,7;1;;;;;0,5;1;4,0;1;180;9;2017;9;1,9;1;360;9;1832;9;;;;;;;;;;;;;;;39;1;1137;9;96;1;748;1;2;9;968;9;6,0;9;;;79;9;490;1;797;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,9;9;;;;;;;;;;;;
13001009;20050102;0,0;1;;;-0,2;1;2345;1;15,1;1;1303;9;8,3;1;7,45;1;-3,5;1;;;0;9;15,3;1;7,5;1;;;;;3,6;1;15,9;1;310;9;1127;9;8,2;1;320;9;1124;9;;;;;;;;;;;;;;;43;1;1259;9;97;1;19;1;0;9;502;9;7,2;9;;;68;9;484;1;800;1;;;;;91;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;9;1,2;9;;;;;;;;;;;;
13001009;20050103;0,0;1;;;4,0;1;1757;9;11,2;1;1312;9;5,9;1;7,60;1;-0,4;1;;;188;9;7,2;1;7,6;1;;;;;2,6;1;14,3;1;330;9;148;1;7,5;1;320;9;238;1;;;;;;;;;;;;;;;42;1;907;9;89;1;2336;9;0;9;297;9;5,2;9;;;58;9;492;1;811;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;9;2,3;9;;;;;;;;;;;;
13001009;20050104;0,0;1;;;-1,0;1;2333;1;13,2;1;1232;9;4,6;1;6,10;1;-5,2;1;;;303;9;14,2;1;6,1;1;;;;;1,1;1;5,6;1;90;9;121;1;3,0;1;250;9;1445;9;;;;;;;;;;;;;;;32;1;1202;9;93;1;2322;9;200;9;398;9;5,3;9;;;66;9;494;1;796;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;0,9;9;;;;;;;;;;;;
13001009;20050105;0,0;1;;;-3,6;1;551;1;11,7;1;1223;9;1,9;1;4,05;1;-7,5;1;;;780;9;15,3;1;4,1;1;;;;;0,5;1;5,2;1;300;9;1323;9;3,5;1;290;9;1327;9;;;;;;;;;;;;;;;40;1;1143;9;96;1;518;1;3;9;923;9;5,4;9;;;80;9;425;1;790;1;;;;;80;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;0,7;9;;;;;;;;;;;;
13001009;20050106;0,2;1;;;-1,7;1;456;1;14,5;1;1228;9;6,4;1;6,40;1;-5,3;1;;;331;9;16,2;1;6,4;1;;;;;2,4;1;16,4;1;330;9;1405;9;9,1;1;320;9;1406;9;;;;;;;;;;;;;;;53;1;1317;9;97;1;319;1;0;9;728;9;7,2;9;;;76;9;494;1;806;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;1,0;9;;;;;;;;;;;;
13001009;20050107;0,0;1;;;0,0;1;609;1;15,6;1;1349;9;6,3;1;7,80;1;-4,3;1;;;0;9;15,6;1;7,8;1;;;;;0,6;1;3,6;1;120;9;758;1;2,2;1;270;9;1443;9;;;;;;;;;;;;;;;51;1;1342;9;96;1;239;1;0;9;975;9;7,8;9;;;83;9;496;1;774;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;0,7;9;;;;;;;;;;;;
13001009;20050108;0,0;1;;;2,5;1;2118;1;13,5;1;1325;9;8,9;1;8,00;1;-1,5;1;;;0;9;11,0;1;8,0;1;;;;;0,9;1;4,8;1;50;9;648;1;2,6;1;260;9;1432;9;;;;;;;;;;;;;;;60;1;1336;9;96;1;1;1;0;9;831;9;9,1;9;;;80;9;70;1;362;1;;;;;13;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;0,4;9;;;;;;;;;;;;
13001009;20050109;0,2;1;;;-0,3;1;726;1;13,0;1;1241;9;6,5;1;6,35;1;-4,2;1;;;54;9;13,3;1;6,4;1;;;;;0,6;1;4,9;1;250;9;1414;9;3,1;1;260;9;1416;9;;;;;;;;;;;;;;;58;1;1350;9;98;1;759;1;0;9;1022;9;8,0;9;;;84;9;498;1;803;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;9;0,6;9;;;;;;;;;;;;
13001009;20050110;0,0;1;;;5,4;1;1803;1;10,2;1;1439;1;8,4;1;7,80;1;1,3;1;;;0;9;4,8;1;7,8;1;;;;;1,1;1;5,1;1;110;9;842;1;2,7;1;110;9;847;1;;;;;;;;;;;;;;;70;1;1558;1;85;1;513;1;0;9;592;9;8,5;9;;;77;9;0;1;117;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;0,5;9;;;;;;;;;;;;
13001009;20050111;0,0;1;;;6,0;1;1742;9;12,3;1;1404;9;8,3;1;9,15;1;2,3;1;;;0;9;6,3;1;9,2;1;;;;;0,4;1;4,6;1;20;9;1024;9;2,3;1;40;9;1028;9;;;;;;;;;;;;;;;57;1;1202;9;87;1;2102;9;0;9;933;9;8,4;9;;;77;9;40;1;396;1;;;;;7;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;1,0;9;;;;;;;;;;;;
13001009;20050112;0,0;1;;;6,1;1;1759;9;11,2;1;1302;9;7,2;1;8,65;1;1,9;1;;;0;9;5,1;1;8,7;1;;;;;0,6;1;3,6;1;120;9;755;1;2,4;1;110;9;911;9;;;;;;;;;;;;;;;63;1;1204;9;96;1;2202;9;0;9;817;9;8,2;9;;;81;9;0;1;238;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,9;9;;;;;;;;;;;;
13001009;20050113;0,0;1;;;1,0;1;719;1;14,2;1;1317;9;5,3;1;7,60;1;-2,3;1;;;3;9;13,2;1;7,6;1;;;;;0,9;1;7,6;1;310;9;1359;9;4,4;1;310;9;1401;9;;;;;;;;;;;;;;;49;1;1344;9;97;1;58;1;0;9;930;9;7,1;9;;;82;9;489;1;814;1;;;;;90;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;1,1;9;;;;;;;;;;;;
13001009;20050114;0,2;1;;;-2,0;1;513;1;12,8;1;1300;9;3,6;1;5,40;1;-6,3;1;;;608;9;14,8;1;5,4;1;;;;;0,5;1;4,7;1;260;9;1513;9;2,8;1;260;9;1514;9;;;;;;;;;;;;;;;40;1;1045;9;97;1;341;1;5;9;900;9;5,9;9;;;79;9;506;1;877;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;9;0,8;9;;;;;;;;;;;;
13001009;20050115;0,2;1;;;-1,1;1;553;1;11,9;1;1356;9;6,1;1;5,40;1;-5,3;1;;;296;9;13,0;1;5,4;1;;;;;0,8;1;4,3;1;70;9;938;9;2,3;1;60;9;945;9;;;;;;;;;;;;;;;52;1;1218;9;98;1;543;1;0;9;819;9;7,3;9;;;78;9;184;1;551;1;;;;;34;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9;0,3;9;;;;;;;;;;;;
13001009;20050116;0,0;1;;;4,1;1;1800;9;10,7;1;1409;9;6,3;1;7,40;1;-0,1;1;;;0;9;6,6;1;7,4;1;;;;;0,4;1;3,7;1;140;9;632;1;2,0;1;110;9;826;9;;;;;;;;;;;;;;;56;1;1515;9;95;1;2306;9;0;9;573;9;7,2;9;;;76;9;0;1;198;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,8;9;;;;;;;;;;;;
13001009;20050117;0,0;1;;;0,0;1;43;1;12,6;1;1251;1;5,7;1;6,30;1;-3,4;1;;;0;9;12,6;1;6,3;1;;;;;0,6;1;3,8;1;280;9;1449;1;2,4;1;280;9;1456;1;;;;;;;;;;;;;;;52;1;1256;1;96;1;39;1;0;9;838;9;7,2;9;;;80;9;61;1;438;1;;;;;11;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,7;9;;;;;;;;;;;;
13001009;20050118;1,4;1;;;1,6;1;2216;1;10,9;1;1543;9;5,8;1;6,25;1;-2,0;1;;;0;9;9,3;1;6,3;1;;;;;3,0;1;23,0;1;330;9;2230;9;10,3;1;320;9;2114;9;;;;;;;;;;;;;;;50;1;2319;9;96;1;1;1;0;9;980;9;7,5;9;;;81;9;0;1;159;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;1,0;9;;;;;;;;;;;;
13001009;20050119;0,0;1;;;4,0;1;2137;1;10,1;1;1259;9;6,7;1;7,05;1;2,3;1;;;0;9;6,1;1;7,1;1;;;;;5,6;1;20,9;1;330;9;153;1;9,6;1;350;9;1704;9;;;;;;;;;;;;;;;33;1;1739;9;67;1;707;1;311;9;0;9;5,0;9;;;52;9;516;1;942;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8;9;3,0;9;;;;;;;;;;;;
13001009;20050120;0,0;1;;;0,2;1;455;1;16,2;1;1339;9;9,2;1;8,20;1;-3,1;1;;;0;9;16,0;1;8,2;1;;;;;3,9;1;18,5;1;330;9;1651;9;9,1;1;330;9;1726;9;;;;;;;;;;;;;;;48;1;1349;9;81;1;447;1;0;9;130;9;7,2;9;;;61;9;446;1;823;1;;;;;80;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;9;2,7;9;;;;;;;;;;;;
13001009;20050121;0,0;1;;;10,4;1;645;1;15,7;1;1405;9;12,3;1;13,05;1;8,7;1;;;0;9;5,3;1;13,1;1;;;;;6,3;1;20,8;1;310;9;1028;9;10,4;1;320;9;1218;9;;;;;;;;;;;;;;;45;1;1409;9;69;1;2303;9;0;9;0;9;8,1;9;;;57;9;494;1;942;1;;;;;89;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;9;4,1;9;;;;;;;;;;;;
13001009;20050122;0,0;1;;;7,1;1;621;1;15,3;1;1409;9;10,3;1;11,20;1;3,7;1;;;0;9;8,2;1;11,2;1;;;;;3,7;1;16,4;1;330;9;1521;9;8,7;1;310;9;1138;9;;;;;;;;;;;;;;;49;1;1342;9;83;1;624;1;0;9;132;9;8,2;9;;;66;9;507;1;929;1;;;;;91;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;9;2,2;9;;;;;;;;;;;;
13001009;20050123;1,8;1;;;2,3;1;353;1;9,7;1;957;9;5,8;1;6,00;1;-0,8;1;;;0;9;7,4;1;6,0;1;;;;;1,1;1;6,6;1;270;9;1411;9;3,6;1;290;9;1418;9;;;;;;;;;;;;;;;74;1;926;9;93;1;1732;9;0;9;1336;9;8,3;9;;;89;9;81;1;404;1;;;;;14;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;9;0,4;9;;;;;;;;;;;;
13001009;20050124;0,0;1;;;-1,7;1;502;1;5,9;1;1216;9;1,8;1;2,10;1;-5,8;1;;;190;9;7,6;1;2,1;1;;;;;4,3;1;22,7;1;320;9;1304;9;10,2;1;330;9;1312;9;;;;;;;;;;;;;;;41;1;1515;9;96;1;332;1;0;9;327;9;4,3;9;;;63;9;522;1;1031;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;1,9;9;;;;;;;;;;;;
13001009;20050125;0,0;1;;;-1,9;1;500;1;5,2;1;1209;9;0,6;1;1,65;1;-4,8;1;;;647;9;7,1;1;1,7;1;;;;;2,8;1;13,5;1;330;9;1443;9;7,3;1;330;9;1343;9;;;;;;;;;;;;;;;23;1;1220;9;64;1;211;1;773;9;0;9;2,7;9;;;43;9;509;1;1011;1;;;;;90;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,9;9;2,1;9;;;;;;;;;;;;
13001009;20050126;0,0;1;;;-7,6;1;615;1;5,6;1;1304;9;-2,0;1;-1,00;1;-11,4;1;;;969;9;13,2;1;-1,0;1;;;;;1,5;1;11,2;1;350;9;1439;9;5,6;1;330;9;1454;9;;;;;;;;;;;;;;;20;1;1235;9;78;1;433;1;354;9;0;9;2,7;9;;;54;9;436;1;918;1;;;;;77;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;1,1;9;;;;;;;;;;;;
13001009;20050127;0,0;1;;;-7,5;1;515;1;4,3;1;1318;9;-2,5;1;-1,60;1;-10,9;1;;;1016;9;11,8;1;-1,6;1;;;;;1,1;1;7,4;1;290;9;1301;9;3,8;1;290;9;1304;9;;;;;;;;;;;;;;;34;1;1218;9;83;1;522;1;317;9;184;9;2,9;9;;;61;9;477;1;916;1;;;;;84;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,8;9;;;;;;;;;;;;
13001009;20050128;0,0;1;;;-8,3;1;556;1;6,0;1;1406;9;-2,3;1;-1,15;1;-11,6;1;;;967;9;14,3;1;-1,2;1;;;;;1,1;1;7,5;1;310;9;1439;9;4,3;1;320;9;1526;9;;;;;;;;;;;;;;;30;1;1223;9;86;1;601;1;229;9;351;9;3,2;9;;;64;9;507;1;979;1;;;;;89;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;9;0,8;9;;;;;;;;;;;;
13001009;20050129;0,0;1;;;-8,2;1;702;9;5,7;1;1303;9;-2,2;1;-1,25;1;-11,5;1;;;969;9;13,9;1;-1,3;1;;;;;1,2;1;9,6;1;320;9;1438;9;5,1;1;310;9;1432;9;;;;;;;;;;;;;;;27;1;1158;9;88;1;430;9;422;9;503;9;2,9;9;;;60;9;538;1;1068;1;;;;;94;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;0,9;9;;;;;;;;;;;;
13001009;20050130;0,0;1;;;-8,6;1;552;1;6,4;1;1433;9;-2,3;1;-1,10;1;-11,6;1;;;992;9;15,0;1;-1,1;1;;;;;1,2;1;6,7;1;270;9;1346;9;3,8;1;240;9;1100;9;;;;;;;;;;;;;;;28;1;1307;9;83;1;557;1;352;9;185;9;2,8;9;;;57;9;540;1;1067;1;;;;;94;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;0,9;9;;;;;;;;;;;;
13001009;20050131;0,0;1;;;-8,3;1;557;1;9,9;1;1359;9;-0,5;1;0,80;1;-11,3;1;;;847;9;18,2;1;0,8;1;;;;;0,9;1;7,3;1;300;9;1258;9;3,9;1;280;9;1433;9;;;;;;;;;;;;;;;21;1;1302;9;88;1;2235;9;338;9;573;9;3,5;9;;;64;9;542;1;1066;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;9;0,9;9;;;;;;;;;;;;
13001009;20050201;0,0;1;;;-3,8;1;320;1;15,2;1;1456;9;5,8;1;5,70;1;-7,3;1;;;330;9;19,0;1;5,7;1;;;;;3,6;1;17,3;1;300;9;1127;9;9,0;1;310;9;1131;9;;;;;;;;;;;;;;;21;1;1518;9;91;1;335;1;425;9;338;9;4,8;9;;;56;9;544;1;1103;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;9;2,3;9;;;;;;;;;;;;
13001009;20050202;0,0;1;;;-4,0;1;619;1;10,0;1;1455;9;2,3;1;3,00;1;-8,0;1;;;669;9;14,0;1;3,0;1;;;;;1,3;1;9,3;1;290;9;1524;9;4,2;1;310;9;1526;9;;;;;;;;;;;;;;;30;1;1113;9;86;1;624;1;377;9;429;9;4,2;9;;;62;9;408;1;911;1;;;;;70;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;1,1;9;;;;;;;;;;;;
13001009;20050203;0,2;1;;;-3,9;1;621;1;13,3;1;1333;1;2,6;1;4,70;1;;;;;;;17,2;1;4,7;1;;;;;0,9;1;7,9;1;310;1;1409;1;4,1;1;290;1;1356;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;9;;;70;9;550;1;1156;1;;;;;94;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;9;1,1;9;;;;;;;;;;;;
13001009;20050204;0,0;1;;;-2,6;1;28;1;15,9;1;1340;9;7,0;1;6,65;1;-7,3;1;;;142;9;18,5;1;6,7;1;;;;;1,3;1;6,2;1;250;9;1418;9;3,8;1;250;9;1419;9;;;;;;;;;;;;;;;30;1;1307;9;93;1;57;1;293;9;471;9;6,3;9;;;64;9;548;1;1094;1;;;;;93;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;9;0,7;9;;;;;;;;;;;;
13001009;20050205;0,0;1;;;4,6;1;634;1;9,9;1;1210;9;7,5;1;7,25;1;0,8;1;;;0;9;5,3;1;7,3;1;;;;;2,7;1;10,9;1;120;9;2219;9;5,7;1;110;9;2220;9;;;;;;;;;;;;;;;59;1;1213;9;85;1;706;1;0;9;143;9;7,3;9;;;71;9;0;1;258;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;9;1,3;9;;;;;;;;;;;;
13001009;20050206;0,0;1;;;6,4;1;658;1;8,7;1;1024;9;7,1;1;7,55;1;5,7;1;;;0;9;2,3;1;7,6;1;;;;;5,5;1;15,8;1;90;9;958;9;7,6;1;110;9;936;9;;;;;;;;;;;;;;;38;1;2357;9;67;1;1;1;38;9;0;9;5,4;9;;;54;9;79;1;559;1;;;;;13;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,9;9;3,3;9;;;;;;;;;;;;
13001009;20050207;0,0;1;;;5,5;1;516;1;11,4;1;1339;9;7,6;1;8,45;1;4,1;1;;;0;9;5,9;1;8,5;1;;;;;5,1;1;16,3;1;90;9;902;9;8,0;1;110;9;907;9;;;;;;;;;;;;;;;35;1;1345;9;63;1;1807;9;441;9;0;9;4,9;9;;;47;9;537;1;1133;1;;;;;90;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,2;9;3,4;9;;;;;;;;;;;;
